id,label,act_gap,acc_binary_gap,acc_logsignal_gap
20211206_24503__33072627__3578::al__hepg2__0,0,1.195143,0.542948,0.774097
20211207_163007__848589__6261::sa__sknsh__5,0,0.248397,-0.047904,-0.027289
20211207_214935__668330__5807::sa__k562__4,0,0.081368,0.317232,0.430292
20211212_73316__958155__144::fsp__sknsh__0,0,0.254056,-0.006421,-0.034070
20211212_73316__958155__956::fsp__sknsh__2,0,0.298545,-0.083510,-0.220918
20211206_24503__33072627__314::al__hepg2__0,0,2.107943,0.986909,1.990613
20211212_122659__199840__755::fsp__sknsh__2,0,0.179210,-0.154580,-0.220965
20211207_205407__862697__498::sa__k562__0,0,2.645036,0.891153,1.348857
20211210_223713__377193__5::hmc__sknsh__0,0,0.774132,-0.091465,-0.313169
20211207_214935__668330__1490::sa__k562__0,0,1.689551,0.454265,0.603391
20211206_25528__41332638__94::al__hepg2__1,0,2.023029,0.964653,1.570368
20211206_221956__59439361__2347::al__k562__0,0,3.197098,0.799752,0.895999
20211207_100944__255626__6373::sa__hepg2__5,0,0.498383,0.534539,0.671357
20211212_22207__477844__1402::fsp__k562__4,0,0.261245,0.275929,0.367422
20211207_163007__848589__2205::sa__sknsh__1,0,-0.205571,0.022232,0.082750
20211210_221309__146215__399::hmc__k562__0,0,0.754432,0.625441,0.732880
20211212_52639__969454__963::fsp__hepg2__2,0,2.138445,0.938740,1.760654
20211213_141749__270660__202::hmc__hepg2__0,1,-0.987458,-0.441415,-0.512138
20211212_61436__944763__1620::fsp__hepg2__5,0,2.058349,0.964340,1.768021
20211212_61436__944763__1679::fsp__hepg2__5,0,0.835580,0.342170,0.617312
20211207_224529__679056__1273::sa__k562__0,0,3.343632,0.962043,1.811132
20211212_122659__199840__1481::fsp__sknsh__4,0,-0.009817,-0.055779,-0.213946
20211212_10357__323391__318::fsp__k562__0,0,5.750995,0.951072,2.628728
20211206_24503__33072627__2167::al__hepg2__0,0,1.927381,0.959694,1.679248
20211212_14909__942569__1944::fsp__sknsh__0,0,0.196469,-0.009673,-0.043528
20211206_25248__57624260__58::al__sknsh__4,0,-0.156144,-0.004161,-0.075134
20211206_221956__59439361__3933::al__k562__0,0,3.912785,0.897392,1.140125
20211207_112927__175796__4756::sa__hepg2__3,0,0.482715,0.053511,0.086468
20211214_100033__420816__2487::sa_rep__hepg2__0,0,0.953099,0.590731,0.821664
20211206_221956__59439361__3423::al__k562__0,0,2.493926,0.769767,1.077324
20211207_212124__46481152__1193::al__sknsh__0,0,-0.187503,-0.000542,0.015191
20211207_85512__472183__6958::sa__hepg2__5,0,0.486739,0.199672,0.118711
20211208_52650__84057002__52::al__sknsh__4,0,0.202269,-0.052166,-0.311190
20211214_100033__420816__776::sa_rep__hepg2__0,0,1.419042,0.513344,0.642270
20211207_205407__862697__5591::sa__k562__4,0,2.541993,0.929518,1.501342
20211210_223601__361569__428::hmc__sknsh__0,0,0.007894,-0.096718,-0.147673
20211206_25854__92323787__94::al__k562__0,0,2.697188,0.611561,0.874983
20211212_22207__477844__991::fsp__k562__2,0,-0.277537,0.020464,0.024635
20211212_45907__313665__1196::fsp__hepg2__3,0,1.756583,0.904274,1.447632
20211214_100033__420816__3189::sa_rep__hepg2__0,0,1.106684,0.188665,0.660312
20211212_52639__969454__769::fsp__hepg2__2,0,1.487668,0.834327,1.188020
20211207_185623__627393__1213::sa__sknsh__0,0,-0.000825,0.009547,0.094160
20211206_24503__33072627__3176::al__hepg2__0,0,1.584915,0.970449,1.834450
20211207_234119__367484__1467::sa__k562__0,0,1.135200,0.368965,0.202105
20211210_222848__670473__95::hmc__hepg2__0,0,0.081489,0.171999,0.090239
20211210_221910__955552__457::hmc__hepg2__0,0,0.789194,0.293132,0.309733
20211212_55149__346635__1500::fsp__hepg2__5,0,0.721173,0.573781,0.653878
20211212_92818__893131__975::fsp__k562__2,0,-0.115113,0.027830,-0.096466
20211214_100033__420816__2842::sa_rep__hepg2__0,0,0.502278,0.679579,0.912984
20211207_175000__383007__281::sa__sknsh__0,0,0.930164,-0.004661,0.024296
20211206_25854__92323787__76::al__k562__0,0,2.661378,0.789078,0.938271
20211207_112927__175796__1031::sa__hepg2__0,0,1.235642,0.961310,1.876084
20211207_185623__627393__4344::sa__sknsh__3,0,-0.483442,-0.104346,-0.407150
20211212_10357__323391__1743::fsp__k562__0,0,4.721984,0.971732,1.790428
20211206_24503__33072627__3040::al__hepg2__0,0,2.749740,0.980184,2.264790
20211212_45907__313665__1352::fsp__hepg2__4,0,1.391873,0.868655,1.322831
20211206_24503__33072627__90::al__hepg2__0,0,1.304614,0.855250,1.179226
20211212_14909__942569__1589::fsp__sknsh__0,0,-0.198460,-0.001111,-0.079187
20211212_45907__313665__291::fsp__hepg2__0,0,2.674079,0.979099,1.851802
20211207_214935__668330__1912::sa__k562__0,0,1.780197,0.768859,0.746755
20211206_24503__33072627__2864::al__hepg2__0,0,2.090214,0.963841,1.598908
20211212_24754__730114__1688::fsp__k562__5,0,-0.263543,0.037686,0.142078
20211207_112927__175796__767::sa__hepg2__0,0,1.840754,0.695883,0.996973
20211206_24503__33072627__2123::al__hepg2__0,0,1.916214,0.925274,1.470339
20211207_224529__679056__1649::sa__k562__0,0,2.381764,0.705821,0.681709
20211210_221910__955552__422::hmc__hepg2__0,1,0.155517,0.008980,-0.186442
20211210_222513__906641__225::hmc__hepg2__0,0,-0.283333,0.028580,-0.025268
20211212_24754__730114__1102::fsp__k562__3,0,1.618800,0.737421,0.945202
20211207_112927__175796__1873::sa__hepg2__0,0,1.623177,0.609963,0.868663
20211206_221956__59439361__812::al__k562__0,0,5.085120,0.975859,2.067361
20211206_221956__59439361__2276::al__k562__0,0,4.504574,0.909586,1.735240
20211207_141610__992334__3476::sa__sknsh__2,0,0.062089,-0.011370,-0.064058
20211207_175000__383007__6797::sa__sknsh__5,0,0.415410,-0.028483,0.082235
20211210_220819__498877__64::hmc__k562__0,0,1.464189,0.702466,0.964072
20211212_73316__958155__345::fsp__sknsh__0,0,-0.225061,-0.025974,-0.175219
20211212_45907__313665__1343::fsp__hepg2__4,0,2.534224,0.985616,2.731735
20211212_122659__199840__372::fsp__sknsh__0,1,-0.473441,-0.007014,-0.095412
20211207_63610__124703__2324::sa__hepg2__1,0,0.441328,0.017418,0.089653
20211212_73316__958155__1034::fsp__sknsh__3,0,0.034097,-0.000387,-0.061064
20211210_220554__102599__146::hmc__k562__0,0,2.371516,0.971022,1.501656
20211207_212124__46481152__1493::al__sknsh__0,0,0.022145,-0.002068,-0.143089
20211207_163007__848589__1765::sa__sknsh__0,0,0.079955,-0.016293,-0.199448
20211206_221956__59439361__3192::al__k562__0,0,1.677225,0.539151,0.688390
20211212_12620__229779__1027::fsp__hepg2__0,0,1.215074,0.902233,1.245890
20211212_61436__944763__310::fsp__hepg2__0,0,3.334112,0.982279,2.655511
20211212_92818__893131__1442::fsp__k562__4,0,0.390568,0.248342,0.320379
20211207_73549__261982__1812::sa__hepg2__0,0,1.991112,0.761319,1.060020
20211212_92818__893131__633::fsp__k562__1,0,1.133355,0.514670,0.568085
20211214_94001__624120__2660::sa_rep__k562__0,0,0.452951,0.035735,0.103327
20211207_152258__777391__1536::sa__sknsh__0,0,-0.140017,-0.005776,-0.002217
20211210_220819__498877__291::hmc__k562__0,0,0.649397,0.178947,0.309308
20211212_14909__942569__1150::fsp__sknsh__0,0,-0.470986,-0.006276,-0.115639
20211207_100944__255626__3735::sa__hepg2__2,0,0.863775,0.175540,0.311585
20211207_212124__46481152__3669::al__sknsh__0,0,0.202452,0.001428,-0.020539
20211208_50948__55024735__61::al__sknsh__3,0,0.073681,-0.003562,-0.004267
20211214_100033__420816__3947::sa_rep__hepg2__0,0,0.799760,0.159875,0.539841
20211210_221421__693103__114::hmc__k562__0,0,1.713593,0.739528,0.822645
20211212_24754__730114__640::fsp__k562__1,0,2.758956,0.834530,1.001392
20211214_100033__420816__3783::sa_rep__hepg2__0,0,1.077236,0.374041,1.012785
20211210_213457__76910589__94::al_uc__k562__0,0,4.551845,0.812297,1.319553
20211207_212124__46481152__286::al__sknsh__0,0,-0.088333,-0.006041,-0.019363
20211212_22207__477844__452::fsp__k562__0,0,2.548706,0.845816,1.108629
20211212_52639__969454__871::fsp__hepg2__2,0,1.517386,0.965451,1.968258
20211212_14909__942569__1924::fsp__sknsh__0,0,0.070248,-0.005354,0.053308
20211207_141610__992334__774::sa__sknsh__0,0,0.106207,-0.032679,-0.066097
20211207_175000__383007__1984::sa__sknsh__0,0,0.294486,-0.006866,-0.052965
20211212_75659__621411__590::fsp__sknsh__1,0,-0.007868,-0.005937,-0.169537
20211214_100033__420816__3088::sa_rep__hepg2__0,0,1.062900,0.103609,0.483741
20211212_12620__229779__578::fsp__hepg2__0,0,1.781982,0.881705,1.240412
20211210_220819__498877__335::hmc__k562__0,0,2.911418,0.919903,1.334968
20211207_100944__255626__1576::sa__hepg2__0,0,1.695742,0.966029,1.484976
20211210_223825__729421__103::hmc__sknsh__0,0,-0.200028,-0.321617,-0.528134
20211214_94001__624120__1066::sa_rep__k562__0,0,2.015455,0.833338,0.917346
20211210_223000__164483__324::hmc__sknsh__0,0,0.120192,0.025248,-0.075425
20211214_111905__704605__715::sa_rep__sknsh__0,0,-0.452970,0.002675,0.010341
20211214_94001__624120__745::sa_rep__k562__0,0,2.840250,0.934732,1.503863
20211214_100033__420816__2231::sa_rep__hepg2__0,0,1.633530,0.159251,0.668311
20211214_94001__624120__1342::sa_rep__k562__0,0,2.289058,0.709092,0.989754
20211212_45907__313665__922::fsp__hepg2__2,0,2.038633,0.976721,2.223582
20211212_24754__730114__575::fsp__k562__1,0,2.845253,0.808006,1.125493
20211207_152258__777391__1174::sa__sknsh__0,0,-0.192315,-0.149173,-0.409827
20211207_235425__62927592__30::al__k562__1,0,2.530092,0.886797,1.453707
20211207_205407__862697__882::sa__k562__0,0,2.618513,0.777905,1.023019
20211207_212124__46481152__509::al__sknsh__0,1,-0.046378,0.006640,0.103792
20211212_92818__893131__1640::fsp__k562__5,0,-0.067842,0.067619,0.161957
20211212_10357__323391__11::fsp__k562__0,0,4.084005,0.928116,1.677862
20211210_222848__670473__381::hmc__hepg2__0,0,0.067553,0.101142,0.047866
20211214_111905__704605__3122::sa_rep__sknsh__0,0,-0.246913,-0.011046,-0.064580
20211212_55149__346635__365::fsp__hepg2__0,0,2.133178,0.931192,1.455409
20211210_224050__335618__129::hmc__sknsh__0,0,-0.377768,-0.030762,-0.190510
20211207_175000__383007__6497::sa__sknsh__5,0,0.104136,-0.092726,-0.251543
20211207_234119__367484__3679::sa__k562__2,0,-0.008212,0.291479,0.279601
20211213_142614__766736__83::hmc__sknsh__0,1,-0.856832,-0.307367,-0.392618
20211210_222400__878831__215::hmc__hepg2__0,0,0.461131,0.352779,0.365332
20211210_223601__361569__440::hmc__sknsh__0,0,-0.055053,-0.013079,-0.017267
20211207_73549__261982__5103::sa__hepg2__4,0,1.110469,0.525124,0.576604
20211208_54338__84059769__19::al__sknsh__5,0,1.072455,-0.004473,-0.136871
20211207_100944__255626__6018::sa__hepg2__5,0,0.577563,0.395386,0.421782
20211206_221956__59439361__1121::al__k562__0,0,3.444950,0.942539,1.575755
20211210_220707__684703__283::hmc__k562__0,0,0.791690,0.516336,0.584437
20211207_234119__367484__6866::sa__k562__5,0,0.473342,0.140720,0.221980
20211207_152258__777391__2544::sa__sknsh__1,0,-0.560725,-0.022366,-0.172840
20211207_100944__255626__6062::sa__hepg2__5,0,0.796188,0.108222,0.450051
20211210_205855__721407__1777::fsp_uc__k562__0,0,5.825578,0.929853,2.893162
20211206_24503__33072627__3322::al__hepg2__0,0,1.268802,0.751098,0.828787
20211210_213457__76910589__32::al_uc__k562__0,0,6.487229,0.980381,2.411616
20211207_205407__862697__2513::sa__k562__1,0,1.534588,0.640852,0.693301
20211207_214935__668330__1505::sa__k562__0,0,3.899366,0.952841,1.564432
20211212_85225__619474__1522::fsp__k562__5,0,-0.307427,0.051228,0.042700
20211214_111905__704605__2690::sa_rep__sknsh__0,1,-0.287207,0.007878,0.130638
20211207_212124__46481152__3944::al__sknsh__0,0,0.385690,-0.012091,-0.143390
20211207_185623__627393__2522::sa__sknsh__1,0,-0.113273,-0.056741,0.047256
20211212_52639__969454__1319::fsp__hepg2__4,0,1.307257,0.948469,1.429772
20211207_212124__46481152__740::al__sknsh__0,0,-0.321929,-0.004003,0.006567
20211206_24503__33072627__79::al__hepg2__0,0,1.522296,0.850001,1.162159
20211212_10357__323391__1917::fsp__k562__0,0,2.217608,0.544051,0.677696
20211212_122659__199840__939::fsp__sknsh__2,0,1.609649,-0.251587,-0.505078
20211212_92818__893131__1406::fsp__k562__4,0,0.584991,0.132212,0.389304
20211212_122659__199840__239::fsp__sknsh__0,0,0.375707,-0.059013,-0.239694
20211207_73549__261982__1301::sa__hepg2__0,0,1.401968,0.887577,1.346879
20211212_61436__944763__1376::fsp__hepg2__4,0,1.271565,0.765627,0.880024
20211212_85225__619474__188::fsp__k562__0,0,2.957628,0.794808,0.708736
20211207_141610__992334__835::sa__sknsh__0,0,0.165719,-0.055205,-0.207722
20211206_24503__33072627__3300::al__hepg2__0,0,1.110852,0.954574,1.609645
20211207_224529__679056__4087::sa__k562__3,0,0.659985,0.307409,0.486441
20211210_223449__975596__318::hmc__sknsh__0,0,0.318613,-0.086874,-0.115741
20211206_24503__33072627__1510::al__hepg2__0,1,1.668792,0.984620,1.835098
20211206_24503__33072627__2071::al__hepg2__0,0,2.646050,0.992242,2.323146
20211212_61436__944763__428::fsp__hepg2__0,0,1.714502,0.899592,1.091722
20211207_195336__853804__5399::sa__k562__4,0,1.891941,0.888314,1.164889
20211207_63610__124703__785::sa__hepg2__0,0,1.564467,0.911656,1.500497
20211212_61436__944763__314::fsp__hepg2__0,0,1.351241,0.913064,1.220604
20211214_94001__624120__2272::sa_rep__k562__0,0,0.708977,0.205183,0.105396
20211212_52639__969454__506::fsp__hepg2__1,0,1.972501,0.965797,1.765045
20211210_222625__481558__353::hmc__hepg2__0,0,0.104269,-0.113594,-0.185484
20211212_75659__621411__128::fsp__sknsh__0,0,0.894545,-0.003453,-0.114123
20211207_175000__383007__3322::sa__sknsh__2,0,-0.071659,0.079124,0.155312
20211212_61436__944763__1734::fsp__hepg2__5,0,0.924646,0.247027,0.458624
20211214_94001__624120__453::sa_rep__k562__0,0,1.249474,0.529218,0.633642
20211214_100033__420816__2297::sa_rep__hepg2__0,1,0.676551,0.602849,0.795223
20211212_73316__958155__686::fsp__sknsh__1,0,0.044475,-0.042173,-0.152581
20211206_221956__59439361__3191::al__k562__0,0,2.668104,0.936811,1.477142
20211210_220932__827123__302::hmc__k562__0,0,0.469776,0.288198,0.414734
20211207_212124__46481152__703::al__sknsh__0,0,0.601566,-0.001033,-0.103865
20211207_112927__175796__3323::sa__hepg2__2,0,0.861065,0.580437,0.768703
20211214_100033__420816__3008::sa_rep__hepg2__0,1,-0.007364,0.153473,0.299307
20211207_195336__853804__344::sa__k562__0,0,2.179645,0.820733,1.020026
20211207_85512__472183__5088::sa__hepg2__4,0,0.380286,0.245536,0.236094
20211212_12620__229779__1467::fsp__hepg2__0,0,2.437046,0.922936,1.678638
20211212_52639__969454__683::fsp__hepg2__1,0,1.093633,0.423862,0.682321
20211212_61436__944763__1357::fsp__hepg2__4,0,1.596337,0.970078,1.647885
20211207_73549__261982__615::sa__hepg2__0,0,1.914722,0.674757,0.957189
20211213_141637__333762__123::hmc__hepg2__0,1,-0.149367,-0.169181,-0.263279
20211207_214935__668330__4037::sa__k562__3,0,1.575503,0.871563,1.117827
20211207_152258__777391__1494::sa__sknsh__0,0,-0.135756,-0.006752,-0.064396
20211212_92818__893131__1028::fsp__k562__3,0,-0.318788,0.005913,0.077012
20211212_92818__893131__870::fsp__k562__2,0,0.235435,0.157241,0.323340
20211207_141610__992334__157::sa__sknsh__0,0,-0.009237,-0.067941,-0.341548
20211210_220932__827123__151::hmc__k562__0,0,1.660581,0.925744,1.323962
20211214_94001__624120__2751::sa_rep__k562__0,0,1.929625,0.588434,0.751000
20211214_100033__420816__2057::sa_rep__hepg2__0,0,0.752106,0.084703,0.314386
20211214_111905__704605__688::sa_rep__sknsh__0,0,-0.373075,0.000656,-0.052797
20211212_61436__944763__1426::fsp__hepg2__4,0,2.640284,0.972131,3.032616
20211210_222736__775920__471::hmc__hepg2__0,0,1.035608,0.563778,0.549598
20211214_100033__420816__3048::sa_rep__hepg2__0,0,1.039298,0.554877,0.999796
20211212_122659__199840__1498::fsp__sknsh__4,0,0.296234,-0.053841,-0.151956
20211212_85225__619474__1457::fsp__k562__4,0,0.683551,0.317339,0.491473
20211207_152258__777391__5802::sa__sknsh__4,0,-0.296235,-0.002578,-0.024355
20211212_14909__942569__1244::fsp__sknsh__0,0,-0.530613,-0.030392,-0.194513
20211214_94001__624120__982::sa_rep__k562__0,0,0.972501,0.222588,0.184505
20211207_63610__124703__3834::sa__hepg2__2,0,1.267831,0.848909,1.005718
20211207_234119__367484__1968::sa__k562__0,0,2.162190,0.842792,1.120727
20211212_61436__944763__613::fsp__hepg2__1,0,2.725135,0.963461,1.769522
20211213_142125__108786__202::hmc__sknsh__0,1,-0.269637,-0.089364,-0.300568
20211212_12620__229779__784::fsp__hepg2__0,0,1.051598,0.669057,0.828362
20211207_112927__175796__436::sa__hepg2__0,0,1.367606,0.913843,1.394787
20211207_212124__46481152__2961::al__sknsh__0,0,0.256339,0.000180,-0.003407
20211210_223713__377193__274::hmc__sknsh__0,0,0.009821,-0.082238,-0.236501
20211208_20816__55133248__73::al__hepg2__1,0,1.578291,0.969486,1.999395
20211207_152258__777391__751::sa__sknsh__0,0,0.210468,-0.001601,0.024802
20211210_223713__377193__297::hmc__sknsh__0,0,0.142431,-0.057584,0.099232
20211206_25737__87493515__67::al__hepg2__5,0,1.096730,0.487386,0.657078
20211212_10357__323391__1895::fsp__k562__0,0,4.261415,0.763506,1.069256
20211207_63610__124703__3492::sa__hepg2__2,0,1.199783,0.598113,0.830554
20211212_73316__958155__1134::fsp__sknsh__3,0,0.436018,-0.000799,0.120434
20211207_224529__679056__645::sa__k562__0,0,1.362287,0.485594,0.696403
20211214_94001__624120__2110::sa_rep__k562__0,0,0.822364,0.450900,0.307411
20211206_221956__59439361__2643::al__k562__0,0,3.161072,0.966195,1.747403
20211212_10357__323391__47::fsp__k562__0,0,5.461411,0.968540,2.620375
20211207_195336__853804__1382::sa__k562__0,0,3.340337,0.954448,1.358121
20211210_221309__146215__29::hmc__k562__0,0,2.190247,0.916493,1.494486
20211212_52639__969454__1485::fsp__hepg2__4,0,1.267437,0.693957,1.032017
20211214_94001__624120__16::sa_rep__k562__0,0,0.549538,0.330418,0.397597
20211207_195336__853804__2490::sa__k562__1,0,0.437602,0.378936,0.479593
20211212_122659__199840__964::fsp__sknsh__2,0,0.026928,-0.021387,0.039286
20211212_45907__313665__1745::fsp__hepg2__5,0,0.496195,0.063401,0.135376
20211212_45907__313665__602::fsp__hepg2__1,0,2.414831,0.962393,1.515367
20211212_45907__313665__823::fsp__hepg2__2,0,0.688145,0.954946,1.610593
20211214_111905__704605__1662::sa_rep__sknsh__0,0,0.056575,-0.001713,-0.061194
20211206_24503__33072627__3339::al__hepg2__0,0,1.878953,0.981997,2.119603
20211206_24503__33072627__2923::al__hepg2__0,0,1.487237,0.888273,1.180375
20211214_100033__420816__1912::sa_rep__hepg2__0,0,0.835712,0.787528,1.253850
20211212_73316__958155__628::fsp__sknsh__1,0,0.015083,-0.028072,-0.160757
20211208_41545__46700778__76::al__sknsh__0,0,0.628904,-0.002927,-0.090296
20211214_100033__420816__3249::sa_rep__hepg2__0,1,0.845902,0.614856,0.986260
20211210_220932__827123__304::hmc__k562__0,0,0.605878,0.294005,0.249976
20211210_221044__191551__414::hmc__k562__0,0,0.889684,0.230008,0.260557
20211214_111905__704605__999::sa_rep__sknsh__0,0,0.248367,-0.015940,-0.246769
20211214_100033__420816__2596::sa_rep__hepg2__0,0,1.749277,0.132788,0.568407
20211207_112927__175796__6671::sa__hepg2__5,0,1.166617,0.369435,0.519970
20211214_94001__624120__1694::sa_rep__k562__0,0,0.112562,0.127177,0.157930
20211212_22207__477844__253::fsp__k562__0,0,3.371556,0.649507,0.783562
20211207_195336__853804__3981::sa__k562__2,1,0.385804,0.148538,0.359162
20211207_195336__853804__3582::sa__k562__2,0,0.489113,0.237407,0.169912
20211207_175000__383007__6928::sa__sknsh__5,0,0.374334,-0.010115,-0.093320
20211214_100033__420816__3115::sa_rep__hepg2__0,0,1.077345,0.481727,0.765485
20211207_205407__862697__6527::sa__k562__5,0,0.333188,0.393207,0.462410
20211207_100944__255626__5022::sa__hepg2__4,0,0.638334,0.208187,0.259079
20211210_224050__335618__134::hmc__sknsh__0,0,-0.202277,-0.180032,-0.450300
20211206_221956__59439361__1971::al__k562__0,0,2.932466,0.843032,1.233597
20211212_10357__323391__607::fsp__k562__0,0,3.104314,0.832531,1.274112
20211214_94001__624120__64::sa_rep__k562__0,0,2.750157,0.788370,1.036079
20211207_112927__175796__838::sa__hepg2__0,0,2.689725,0.962359,1.730878
20211212_75659__621411__457::fsp__sknsh__0,0,-0.149127,-0.071708,-0.386692
20211212_61436__944763__1546::fsp__hepg2__5,0,0.998648,0.451570,0.678776
20211212_45907__313665__639::fsp__hepg2__1,0,1.763496,0.936863,1.430184
20211207_100944__255626__228::sa__hepg2__0,0,3.030249,0.991102,1.996885
20211212_22207__477844__1297::fsp__k562__4,0,-0.490215,-0.051094,0.011593
20211213_141412__444669__288::hmc__hepg2__0,1,-0.183700,-0.259441,-0.409903
20211210_222135__426940__253::hmc__hepg2__0,0,0.562917,0.276618,0.171956
20211212_52639__969454__1047::fsp__hepg2__3,0,2.389203,0.926330,1.404085
20211214_94001__624120__1514::sa_rep__k562__0,0,0.255090,0.120774,0.093934
20211212_61436__944763__257::fsp__hepg2__0,0,1.026990,0.757497,0.910978
20211212_10357__323391__364::fsp__k562__0,0,1.349855,0.580757,0.754115
20211212_122659__199840__337::fsp__sknsh__0,0,-0.214762,-0.008182,-0.086139
20211207_212124__46481152__1249::al__sknsh__0,0,0.259253,-0.005844,-0.021366
20211212_14909__942569__1486::fsp__sknsh__0,0,-0.469236,0.001282,0.016002
20211214_111905__704605__542::sa_rep__sknsh__0,0,-0.351315,0.004567,0.058726
20211207_185623__627393__2749::sa__sknsh__1,0,0.209681,-0.090499,-0.235631
20211210_223223__132172__265::hmc__sknsh__0,0,0.289311,-0.035462,-0.109698
20211210_220554__102599__131::hmc__k562__0,0,0.868165,0.753996,0.939714
20211208_2954__56294947__72::al__k562__3,0,2.715990,0.810096,1.274223
20211212_55149__346635__994::fsp__hepg2__2,0,1.575040,0.969666,1.819272
20211206_221956__59439361__3728::al__k562__0,0,3.638208,0.857280,1.140216
20211207_163007__848589__47::sa__sknsh__0,0,-0.217238,-0.009146,-0.146830
20211207_185623__627393__6176::sa__sknsh__5,0,-0.333610,-0.152442,-0.431066
20211213_142614__766736__211::hmc__sknsh__0,1,-0.143509,-0.251868,-0.432174
20211206_24503__33072627__1785::al__hepg2__0,0,2.070190,0.982056,1.845306
20211207_234119__367484__3860::sa__k562__2,0,1.025145,0.514563,0.643137
20211212_73316__958155__1624::fsp__sknsh__5,0,0.016357,0.038997,0.068874
20211213_141901__715602__317::hmc__hepg2__0,1,-0.667288,-0.252754,-0.531337
20211214_100033__420816__3592::sa_rep__hepg2__0,0,0.725827,0.141951,0.446880
20211212_61436__944763__1624::fsp__hepg2__5,0,0.680956,0.778435,0.912984
20211212_52639__969454__957::fsp__hepg2__2,0,2.132374,0.963566,1.798452
20211212_55149__346635__100::fsp__hepg2__0,0,2.351099,0.985280,1.910538
20211212_12620__229779__606::fsp__hepg2__0,0,2.278578,0.939724,1.509496
20211213_141525__841365__232::hmc__hepg2__0,1,0.068064,-0.164871,-0.365704
20211214_94001__624120__1727::sa_rep__k562__0,0,0.695645,0.179071,0.041728
20211214_100033__420816__2548::sa_rep__hepg2__0,0,0.649629,0.486875,0.769162
20211207_205407__862697__4121::sa__k562__3,0,0.309092,0.289139,0.321015
20211210_223223__132172__151::hmc__sknsh__0,0,-0.633681,-0.020436,-0.136747
20211212_75659__621411__1486::fsp__sknsh__4,0,0.221305,-0.086437,-0.064332
20211210_194206__199488__951::sa_uc__k562__0,0,5.430048,0.983776,2.028400
20211206_221956__59439361__3258::al__k562__0,0,2.466919,0.778337,0.886167
20211212_24754__730114__1045::fsp__k562__3,0,2.075682,0.734624,0.934933
20211207_185623__627393__6853::sa__sknsh__5,0,-0.368696,-0.066317,-0.295156
20211210_223938__220016__238::hmc__sknsh__0,0,0.376653,-0.032564,-0.107199
20211212_12620__229779__1164::fsp__hepg2__0,0,2.510575,0.969427,1.845852
20211214_100033__420816__1271::sa_rep__hepg2__0,1,0.772958,0.227200,0.628696
20211207_185623__627393__303::sa__sknsh__0,0,0.038583,0.007705,0.044896
20211207_175000__383007__2959::sa__sknsh__1,0,-0.005533,-0.039947,-0.273383
20211214_100033__420816__3989::sa_rep__hepg2__0,0,0.606864,0.118445,0.457680
20211206_221956__59439361__2635::al__k562__0,0,0.863146,0.319281,0.257919
20211207_224529__679056__3361::sa__k562__2,0,0.557963,0.324238,0.442928
20211207_141610__992334__442::sa__sknsh__0,0,-0.365594,-0.000150,0.039822
20211208_15040__72147769__36::al__hepg2__0,0,2.893718,0.903751,1.389026
20211214_100033__420816__51::sa_rep__hepg2__0,0,1.157563,0.784900,1.055043
20211208_43442__96006237__69::al__sknsh__1,0,0.206867,0.066052,0.194885
20211212_22207__477844__511::fsp__k562__1,0,2.012563,0.523788,0.584193
20211207_141610__992334__2080::sa__sknsh__1,0,0.312019,-0.105760,-0.257665
20211212_73316__958155__1215::fsp__sknsh__3,0,0.717414,-0.044673,-0.077958
20211212_82245__817810__887::fsp__sknsh__2,0,0.540121,-0.041524,-0.048545
20211207_141610__992334__6872::sa__sknsh__5,1,0.498093,-0.009004,-0.036406
20211214_94001__624120__877::sa_rep__k562__0,0,0.740053,0.088013,0.176271
20211207_205407__862697__977::sa__k562__0,0,2.771567,0.856654,1.084064
20211214_94001__624120__442::sa_rep__k562__0,0,1.728835,0.855387,0.988047
20211210_222736__775920__34::hmc__hepg2__0,0,0.723848,0.275217,0.337041
20211212_22207__477844__1655::fsp__k562__5,0,2.123561,0.859096,1.254150
20211206_24503__33072627__3841::al__hepg2__0,0,1.071736,0.580627,0.854605
20211212_14909__942569__947::fsp__sknsh__0,0,-0.019769,-0.004709,-0.106173
20211212_52639__969454__590::fsp__hepg2__1,0,2.113918,0.958268,1.650774
20211210_222135__426940__148::hmc__hepg2__0,0,1.308231,0.862018,1.307341
20211212_12620__229779__1818::fsp__hepg2__0,0,1.165594,0.553519,0.605960
20211213_142237__606687__62::hmc__sknsh__0,1,-0.289309,-0.279840,-0.418132
20211214_100033__420816__3456::sa_rep__hepg2__0,0,0.659445,0.217414,0.565030
20211208_43442__96006237__89::al__sknsh__1,0,0.494343,-0.009343,-0.079119
20211206_221956__59439361__345::al__k562__0,0,4.382958,0.951605,1.600813
20211212_61436__944763__87::fsp__hepg2__0,0,1.278963,0.862616,1.242924
20211206_24503__33072627__3053::al__hepg2__0,0,2.495955,0.960757,1.591844
20211212_82245__817810__718::fsp__sknsh__1,0,0.329516,0.004276,-0.026585
20211206_24503__33072627__2541::al__hepg2__0,0,1.778332,0.884314,1.249919
20211207_214935__668330__1972::sa__k562__0,0,2.697530,0.943799,1.472638
20211212_122659__199840__610::fsp__sknsh__1,0,0.785049,-0.037420,-0.094210
20211212_55149__346635__1086::fsp__hepg2__3,0,0.980285,0.748481,0.974968
20211207_141610__992334__2949::sa__sknsh__1,0,0.245219,-0.042969,-0.055659
