id,label,act_gap,acc_binary_gap,acc_logsignal_gap
20211214_94001__624120__490::sa_rep__k562__0,0,1.482761,0.566946,0.599203
20211206_24503__33072627__1299::al__hepg2__0,0,1.758572,0.689821,1.327684
20211212_52639__969454__513::fsp__hepg2__1,0,1.212889,0.295638,0.820105
20211210_220554__102599__361::hmc__k562__0,0,0.605435,0.290350,0.478813
20211212_12620__229779__1894::fsp__hepg2__0,0,2.446072,0.922156,1.665511
20211207_152258__777391__1173::sa__sknsh__0,0,0.341926,-0.017251,-0.181108
20211212_82245__817810__1569::fsp__sknsh__5,0,0.124997,-0.044389,-0.023415
20211207_63610__124703__928::sa__hepg2__0,0,1.036114,0.775854,0.981937
20211207_141610__992334__3084::sa__sknsh__2,0,-0.091570,-0.036990,-0.212147
20211207_195336__853804__2215::sa__k562__1,0,-0.050096,0.132173,0.264593
20211207_85512__472183__3026::sa__hepg2__2,0,1.061147,0.363426,0.641401
20211207_212124__46481152__918::al__sknsh__0,0,0.534930,0.003907,0.066916
20211214_111905__704605__153::sa_rep__sknsh__0,0,0.025888,0.032469,0.131122
20211207_214935__668330__4773::sa__k562__3,0,1.054172,0.528666,0.747011
20211207_63610__124703__3786::sa__hepg2__2,0,1.217556,0.873459,1.128785
20211212_45907__313665__784::fsp__hepg2__2,0,1.757453,0.966377,1.711301
20211207_195336__853804__169::sa__k562__0,0,2.893010,0.661205,1.078841
20211212_24754__730114__1660::fsp__k562__5,0,0.357927,0.323220,0.317582
20211207_163007__848589__2450::sa__sknsh__1,0,-0.210517,-0.121396,-0.271684
20211212_12620__229779__1524::fsp__hepg2__0,0,1.899046,0.979434,1.658788
20211212_82245__817810__1082::fsp__sknsh__3,0,0.010994,-0.249169,-0.389149
20211214_100033__420816__662::sa_rep__hepg2__0,0,0.720241,0.373211,0.654266
20211214_111905__704605__606::sa_rep__sknsh__0,0,0.005388,0.006312,-0.048033
20211206_24503__33072627__1487::al__hepg2__0,0,1.442469,0.789898,1.008115
20211206_221956__59439361__974::al__k562__0,0,2.455233,0.765422,0.957093
20211207_212124__46481152__2714::al__sknsh__0,0,0.715043,0.013945,0.150175
20211206_221956__59439361__3006::al__k562__0,0,2.370004,0.272962,0.334994
20211207_112927__175796__86::sa__hepg2__0,0,1.560064,0.874377,1.110802
20211207_205407__862697__133::sa__k562__0,0,2.075966,0.728311,0.926061
20211213_142726__100534__47::hmc__sknsh__0,1,-0.221493,-0.067109,-0.080440
20211207_212124__46481152__1326::al__sknsh__0,0,-0.202264,0.004009,0.200631
20211212_45907__313665__824::fsp__hepg2__2,0,2.310241,0.967651,2.496410
20211214_111905__704605__2749::sa_rep__sknsh__0,1,-0.052509,0.013996,0.163612
20211207_175000__383007__4496::sa__sknsh__3,0,0.496522,-0.010845,-0.119999
20211206_24503__33072627__788::al__hepg2__0,0,1.875914,0.888830,1.466253
20211207_195336__853804__3401::sa__k562__2,0,0.954735,0.413964,0.497950
20211207_175000__383007__2158::sa__sknsh__1,0,-0.365071,-0.027390,-0.215942
20211207_195336__853804__5868::sa__k562__4,0,0.126789,0.217444,0.228013
20211212_24754__730114__1583::fsp__k562__5,0,0.504077,0.264404,0.376219
20211206_221956__59439361__3860::al__k562__0,0,3.908917,0.952581,1.667726
20211212_73316__958155__374::fsp__sknsh__0,0,-0.076887,-0.013125,-0.244480
20211207_185623__627393__1956::sa__sknsh__0,0,-0.208459,0.036733,0.163721
20211207_152258__777391__896::sa__sknsh__0,0,-0.174552,-0.030345,-0.257186
20211207_212124__46481152__2249::al__sknsh__0,0,0.533119,0.001880,0.031316
20211207_163007__848589__714::sa__sknsh__0,0,0.073638,0.004175,0.247109
20211214_94001__624120__3274::sa_rep__k562__0,0,1.885082,0.626340,0.819838
20211207_224529__679056__6656::sa__k562__5,0,0.521938,0.576097,0.690174
20211210_223938__220016__465::hmc__sknsh__0,1,0.330965,-0.018129,0.040181
20211210_222625__481558__343::hmc__hepg2__0,0,0.894048,0.316914,0.305426
20211212_122659__199840__1105::fsp__sknsh__3,0,0.082054,-0.049566,-0.094010
20211212_14909__942569__659::fsp__sknsh__0,0,-0.537778,-0.016687,-0.086296
20211213_142614__766736__124::hmc__sknsh__0,1,-0.818045,-0.331011,-0.550533
20211207_185623__627393__2571::sa__sknsh__1,0,-0.892626,-0.033712,-0.138093
20211207_73549__261982__4021::sa__hepg2__3,0,0.582197,0.098559,0.227878
20211207_152258__777391__1607::sa__sknsh__0,0,-0.411530,-0.049396,-0.242845
20211212_82245__817810__1491::fsp__sknsh__4,0,0.015299,-0.019025,-0.076177
20211212_92818__893131__1471::fsp__k562__4,0,0.472783,0.221769,0.412627
20211206_30151__45259191__21::al__k562__5,0,1.378136,0.657563,0.836119
20211210_221533__849423__226::hmc__k562__0,0,0.857255,0.386771,0.463179
20211212_10357__323391__1219::fsp__k562__0,0,3.532402,0.889485,1.506397
20211214_111905__704605__115::sa_rep__sknsh__0,0,-1.081048,0.019385,0.113897
20211212_82245__817810__402::fsp__sknsh__0,0,-0.619485,-0.032400,-0.225920
20211212_122659__199840__1389::fsp__sknsh__4,0,0.075204,-0.115774,-0.198017
20211206_25737__87493515__60::al__hepg2__5,0,1.286367,0.984112,1.989995
20211207_175000__383007__6421::sa__sknsh__5,0,-0.225528,-0.015426,-0.153228
20211212_22207__477844__1095::fsp__k562__3,0,1.590570,0.713823,0.879462
20211214_111905__704605__2100::sa_rep__sknsh__0,0,-0.140020,-0.000920,-0.059638
