pred_gap,fail
-0.70011073,1
-0.6982589,0
-0.697773,1
-0.69644344,0
-0.696335,0
-0.6954142,1
-0.6941477,0
-0.69376206,0
-0.6922038,0
-0.6920984,1
-0.69163513,0
-0.691089,0
-0.68852746,0
-0.6884204,0
-0.68822736,0
-0.68683434,1
-0.68683094,0
-0.6856094,1
-0.6854296,1
-0.6845991,0
-0.6843247,1
-0.6830493,1
-0.6822655,1
-0.68164015,0
-0.6814538,0
-0.6770561,0
-0.6763251,0
-0.6758018,1
-0.6748069,1
-0.67459846,0
-0.67377186,0
-0.6728665,0
-0.67230767,0
-0.67131233,0
-0.6712534,0
-0.67095095,0
-0.6702447,1
-0.66924286,0
-0.6691172,0
-0.669116,1
-0.6683588,0
-0.6674071,0
-0.6672883,1
-0.66709036,1
-0.66689754,0
-0.6668647,1
-0.6668575,0
-0.66677463,0
-0.6663171,1
-0.66625404,0
-0.6653373,0
-0.66516876,0
-0.66446996,0
-0.6643553,1
-0.66306794,0
-0.6617555,0
-0.6616876,0
-0.66162395,1
-0.6615232,0
-0.66117036,0
-0.6604334,1
-0.66031104,1
-0.6594106,0
-0.659256,1
-0.65917665,0
-0.6562954,1
-0.6558504,0
-0.6540698,0
-0.65378976,0
-0.6521256,1
-0.6521249,1
-0.6515239,0
-0.64928365,1
-0.64850944,0
-0.64812183,1
-0.64759487,0
-0.6474776,0
-0.6470752,1
-0.6467032,0
-0.6457871,1
-0.64509594,0
-0.6444653,0
-0.6442801,0
-0.6439592,0
-0.643894,1
-0.6438697,0
-0.64368707,1
-0.64259005,0
-0.64229363,0
-0.6409507,0
-0.6408276,0
-0.64042735,0
-0.63994193,1
-0.6390861,0
-0.6390181,0
-0.6376624,1
-0.63749754,1
-0.63699496,0
-0.63666946,0
-0.6361085,0
-0.63609064,1
-0.6347532,0
-0.63463944,1
-0.6343814,0
-0.6336811,0
-0.6323106,0
-0.6321957,0
-0.6320406,0
-0.63191545,1
-0.63168734,0
-0.6300627,1
-0.6293919,1
-0.6292075,1
-0.628394,1
-0.6271889,0
-0.62679076,0
-0.6261139,1
-0.6257624,0
-0.62535846,1
-0.6251726,0
-0.6251278,0
-0.6243023,0
-0.6240581,1
-0.62390304,0
-0.623044,0
-0.62291455,0
-0.62272197,1
-0.6223272,0
-0.6223109,1
-0.6214671,1
-0.6209154,0
-0.6208844,0
-0.620478,0
-0.62042516,0
-0.6203361,1
-0.61998177,0
-0.6198594,0
-0.61979425,1
-0.61921984,0
-0.6191206,0
-0.6182468,1
-0.618175,0
-0.61708385,0
-0.61499894,1
-0.6146286,0
-0.6129186,0
-0.612435,1
-0.61159444,0
-0.60985446,0
-0.60808164,0
-0.606847,0
-0.6067295,0
-0.6063925,1
-0.60547864,0
-0.6051872,0
-0.60452527,1
-0.60395074,1
-0.6026896,0
-0.6025187,1
-0.6024618,0
-0.60219705,1
-0.6021043,0
-0.6018538,0
-0.6018485,0
-0.6018035,1
-0.6015471,1
-0.60106623,0
-0.60100347,0
-0.60073423,0
-0.6004624,0
-0.6000966,0
-0.5996762,0
-0.5995184,1
-0.59896374,0
-0.5989603,0
-0.5987568,0
-0.5986912,0
-0.5985524,0
-0.59693635,0
-0.59665704,0
-0.59601736,0
-0.5948356,0
-0.5944926,1
-0.5943193,1
-0.5942091,0
-0.5935606,1
-0.5931867,1
-0.5924263,0
-0.5924185,0
-0.59206223,1
-0.5920535,0
-0.59111035,0
-0.59009695,0
-0.5900568,0
-0.589875,0
-0.58965886,1
-0.5881962,0
-0.58787084,0
-0.5874505,0
-0.58711874,0
-0.58694255,1
-0.58587724,1
-0.58566725,1
-0.58531,0
-0.5847297,1
-0.5842024,0
-0.5840877,0
-0.5840858,0
-0.5835058,0
-0.58265543,0
-0.5821582,1
-0.5803702,0
-0.57989156,0
-0.5793935,1
-0.5788152,1
-0.57861567,0
-0.5764279,1
-0.5760915,0
-0.5757535,1
-0.57543087,1
-0.5751073,0
-0.57445157,1
-0.5741838,1
-0.57398075,1
-0.5739681,0
-0.57347625,0
-0.57321703,0
-0.57291305,1
-0.57279223,0
-0.5716565,0
-0.5708442,0
-0.5700871,0
-0.5696398,0
-0.5682264,0
-0.56800085,1
-0.5676527,0
-0.56744504,0
-0.56709665,0
-0.5667682,0
-0.56672424,1
-0.5643196,0
-0.5641287,0
-0.5634983,1
-0.5631292,0
-0.56302834,0
-0.5625407,0
-0.56210333,1
-0.56189895,0
-0.5613568,0
-0.5593014,0
-0.5579362,0
-0.5578867,0
-0.55786896,0
-0.55762863,0
-0.55699337,0
-0.556798,0
-0.55631423,0
-0.5562658,0
-0.5557714,0
-0.55576026,0
-0.55563504,0
-0.55470586,0
-0.5546166,0
-0.5537084,0
-0.55368906,0
-0.5532979,1
-0.55139124,0
-0.5513507,1
-0.5513123,1
-0.5508832,0
-0.55063283,0
-0.55001485,0
-0.5489249,0
-0.54875886,1
-0.5480845,0
-0.5480773,1
-0.54795635,1
-0.54743016,0
-0.5473737,0
-0.5473573,0
-0.54630053,0
-0.5453118,0
-0.5449842,0
-0.54448944,1
-0.5437552,1
-0.54373544,0
-0.54356986,0
-0.54280543,0
-0.54191643,0
-0.5407841,1
-0.54059416,1
-0.5402507,0
-0.5395275,1
-0.539518,0
-0.5393493,1
-0.53923583,0
-0.53872293,0
-0.53847057,0
-0.5384465,0
-0.5382388,1
-0.5375904,0
-0.537518,0
-0.5375037,0
-0.5373312,0
-0.5372298,0
-0.53674936,0
-0.53669935,0
-0.53611517,0
-0.53605473,0
-0.535919,0
-0.5356286,0
-0.5356101,1
-0.53537023,1
-0.53534365,0
-0.5342616,0
-0.53407764,0
-0.53384495,1
-0.5334378,1
-0.5333414,0
-0.5330569,0
-0.5318705,0
-0.5316705,0
-0.53137165,0
-0.53124464,0
-0.53055227,1
-0.53002816,1
-0.5282768,0
-0.52824163,0
-0.52798015,1
-0.5274782,1
-0.52572,1
-0.5256382,1
-0.52560264,1
-0.5250256,0
-0.5247688,1
-0.52418655,0
-0.5235225,0
-0.5231606,0
-0.5231513,1
-0.5230722,0
-0.5227179,0
-0.5224589,0
-0.5221653,0
-0.5220574,0
-0.5207244,0
-0.52069616,0
-0.5205928,1
-0.5205451,0
-0.5203676,0
-0.52025366,1
-0.5200139,0
-0.5198437,0
-0.5196435,0
-0.5194061,0
-0.5192119,0
-0.5190549,0
-0.51901233,0
-0.51870984,0
-0.5186878,1
-0.5182049,0
-0.5181062,0
-0.5171121,0
-0.51662755,0
-0.5163168,0
-0.5155914,0
-0.515278,1
-0.5149319,1
-0.51439315,0
-0.51431644,0
-0.51421124,0
-0.5117559,0
-0.51151323,0
-0.51074713,1
-0.5106168,0
-0.50969887,0
-0.5076729,0
-0.50745547,0
-0.50738555,0
-0.50693536,1
-0.5051929,1
-0.5044885,1
-0.50430197,0
-0.5035705,1
-0.5032792,1
-0.5031957,0
-0.50304234,0
-0.5027983,0
-0.5026972,0
-0.5025053,0
-0.5024691,1
-0.50237966,1
-0.5019491,0
-0.50156415,0
-0.50100356,0
-0.4999044,0
-0.49893403,0
-0.49881905,0
-0.497351,1
-0.49712282,0
-0.4967129,1
-0.49644446,0
-0.49582756,0
-0.49581832,0
-0.4953874,1
-0.49517667,0
-0.49488243,1
-0.4945045,0
-0.49354786,0
-0.4930536,0
-0.49303567,1
-0.49281847,1
-0.49257416,1
-0.49234176,0
-0.49188197,0
-0.49100363,1
-0.4909309,0
-0.49073082,1
-0.49051684,0
-0.49003673,0
-0.48992443,0
-0.48952574,0
-0.4895159,0
-0.48888928,1
-0.48856503,0
-0.488206,0
-0.48818186,0
-0.48811367,0
-0.48788553,0
-0.48768485,0
-0.48744136,0
-0.487269,0
-0.4871537,0
-0.48682868,1
-0.4866361,0
-0.48660547,0
-0.48630857,0
-0.48624137,0
-0.48556453,1
-0.48542726,0
-0.4853609,0
-0.48535788,0
-0.48531067,0
-0.4851638,1
-0.4845419,0
-0.4838434,1
-0.48371112,1
-0.48360717,0
-0.48358357,0
-0.48333246,0
-0.48299032,0
-0.48290744,1
-0.4828692,0
-0.4825902,0
-0.48194402,1
-0.4816971,0
-0.48164797,0
-0.481045,0
-0.48040658,0
-0.48020622,0
-0.4798997,0
-0.4794328,1
-0.47908965,0
-0.47865307,0
-0.4781006,0
-0.47808248,0
-0.47787237,0
-0.4769116,0
-0.47670716,0
-0.47653377,0
-0.47610033,0
-0.47500074,1
-0.47497952,0
-0.47445732,1
-0.47435194,0
-0.4743387,0
-0.47420546,1
-0.47386932,0
-0.47360218,0
-0.4734126,0
-0.47323763,0
-0.47320485,0
-0.47277802,0
-0.47265857,1
-0.47250903,0
-0.47216082,0
-0.4721247,0
-0.47182816,0
-0.471375,1
-0.47083446,0
-0.47046274,0
-0.47037596,0
-0.4699882,1
-0.46992248,0
-0.4695862,0
-0.46936035,0
-0.4688989,0
-0.46875036,0
-0.4686882,0
