Enhancer_ID,LABEL_Specificity,ON_target,max_subclass_primary,gap,max_scaled_acc_mouse,gini_index,GC.content,accessibility_mouse
AiE0561m,No_Labeling,0,Vip,-4.619748115539551,4.4544595886476,0.825421954290529,42.4242424242424,50.315036667511
AiE0571m,No_Labeling,0,Pvalb_ChC,4.258206367492676,4.48754015832057,0.717123305298542,33.9152119700748,3.72225737571715
AiE0580m,No_Labeling,0,Pvalb,1.0380783081054688,2.5010786753272,0.540986678795433,36.6612111292962,6.72972576320172
AiE0581m,Mixed_Target,0,L5_ET,5.686336517333984,2.93365578262305,0.587725803811979,38.0664652567976,25.4285467285663
AiE0582m,No_Labeling,0,L6_IT_Car3,-3.4224138259887695,1.78953290203919,0.338534348950656,38.8157894736842,4.54034516215325
AiE0583m,On_Target,1,L5_ET,13.555421829223633,4.511274756281,0.595588580522279,35.8649789029536,10.1976336138323
AiE0584m,No_Labeling,0,Sst_Chodl,0.33178579807281494,4.12820436983813,0.53272743006555,42.9752066115703,8.42633754014969
AiE0585m,No_Labeling,0,Lamp5_Lhx6,-2.820134162902832,2.75646938755191,0.418001337192859,41.5300546448087,3.9122142791748
AiE0586m,No_Labeling,0,Vip,2.643962860107422,4.35568780779438,0.598136669250942,50.5823627287854,13.6321528125554
AiE0587m,No_Labeling,0,Vip,0.6886706352233887,3.57339348536669,0.637656317022699,51.8234165067178,18.0109656080604
AiE0588m,On_Target,1,Pvalb,1.108464241027832,3.04531465673422,0.704472185614798,40.3053435114504,23.2432295233011
AiE0589m,Mixed_Target,0,Pvalb,-0.4636240005493164,3.38642570457031,0.767550900124179,36.9175627240143,5.0810780748725
AiE0590m,On_Target,1,Pvalb,1.636521339416504,3.60865916781322,0.780309476088207,33.5907335907336,6.83783387392759
AiE0591m,No_Labeling,0,Pvalb_ChC,-1.9830234050750732,2.62994815183213,0.553736071761341,36.3636363636364,1.86112868785858
AiE0592m,On_Target,1,L6b,-3.6970596313476562,3.03007123849454,0.788988304478164,42.0245398773006,13.2158935591578
AiE0597m,No_Labeling,0,L4_IT,,4.37770168117237,0.597669980741259,35.1002865329513,9.82128843013197
AiE0600m,On_Target,1,Sst_Chodl,38.32112503051758,4.68060874671585,0.736349792997569,51.7357222844345,99.0094665884971
AiE0603m,No_Labeling,0,L5_ET,6.2111101150512695,4.52156949835287,0.627833479181772,57.8947368421053,16.6727379988879
AiE0604m,On_Target,1,L5_ET,-1.8282146453857422,4.6748842388704,0.783590794632477,38.5438972162741,24.1964419484138
AiE0605m,No_Labeling,0,L6_IT,-0.8056693077087402,4.30293376522591,0.724543670301958,36.3636363636364,10.2500636335462
AiE0637m,On_Target,1,Sst_Chodl,10.301168441772461,3.54909042391914,0.846758780222855,34.9462365591398,33.7053501605988
AiE0638m,On_Target,1,Sst,8.6524658203125,4.33653352232248,0.807099349262513,36.0158311345646,21.6013287110254
AiE0639m,No_Labeling,0,Sst,2.6891565322875977,3.61181897366687,0.56519254853172,39.84375,38.7646490195767
AiE0641m,On_Target,1,Oligo,8.687215805053711,3.42713124021659,0.896901343810214,47.1246006389776,113.387075297534
AiE0642m,No_Labeling,0,Astro,2.5583181381225586,4.66111360815178,0.755444390416199,60.7843137254902,44.8876414597034
AiE0647m,On_Target,1,L5_ET,13.735834121704102,3.98373364768628,0.818241588336378,34.4512195121951,19.3204526938498
AiE0651m,Mixed_Target,0,L4_IT,,4.19653639023101,0.841206697081845,31.5972222222222,9.16328643634915
AiE0652m,On_Target,1,L6b,11.143176078796387,4.58981015043932,0.838739306997935,35.7692307692308,19.5091762840748
AiE0654m,Off_Target,0,L5_IT,-3.1531600952148438,2.49220518980828,0.788675591022618,37.5266524520256,18.3541809283197
AiE0655m,Off_Target,0,L4_IT,,2.57571835694494,0.495440921645009,62.3481781376518,20.8123579770327
AiE0656m,Off_Target,0,L2-3_IT,-2.9486942291259766,3.13917096327646,0.608423322964661,45.5223880597015,2.70530194882303
